HomeTeam,AwayTeam,Result Predicted,Away win %,Draw %,Home win %
Fulham,Brighton,H,33.071728235386765,31.646424893753455,35.28184687085977
Huddersfield,Everton,D,28.601887128031052,40.49902548303106,30.89908738893789
Wolves,West Ham,H,31.818446362498996,29.876036610370075,38.30551702713094
Man Utd,Burnley,H,30.47884168868152,23.646981004567955,45.874177306750525
Bournemouth,Chelsea,D,31.791023807377677,37.25768199095379,30.95129420166854
Southampton,Crystal Palace,A,38.74064124222406,27.13447863292649,34.12488012484946
Newcastle,Man City,A,38.95635679909932,25.67161030500858,35.372032895892104
Liverpool,Leicester,H,32.51274180513661,32.70286965082168,34.784388544041704
Spurs,Watford,H,36.18474654607118,16.44423269223018,47.37102076169864
Spurs,Newcastle,H,40.46063072321822,17.317736044905438,42.221633231876346
Brighton,Watford,H,25.35827449387846,33.77173249728849,40.86999300883304
Burnley,Southampton,H,33.71997839695515,26.870490524724616,39.409531078320235
Chelsea,Huddersfield,D,25.400042419678414,46.56946779466768,28.030489785653916
Crystal Palace,Fulham,H,35.705718746611055,28.275417897643628,36.0188633557453
Everton,Wolves,H,31.364606874745565,33.15334956433569,35.48204356091873
Cardiff,Bournemouth,A,37.78795363773894,25.92957838467525,36.282467977585824
Leicester,Man Utd,D,34.68171073880169,36.37375274864756,28.944536512550744
Man City,Arsenal,H,35.626580757074564,27.728794374057014,36.64462486886842
West Ham,Liverpool,A,37.19599053839735,30.680071981782643,32.12393747982
Fulham,Man Utd,A,38.31101625890159,31.32967849317397,30.35930524792444
Crystal Palace,West Ham,A,40.59986474622402,21.568751221305916,37.83138403247007
Huddersfield,Arsenal,A,36.01604994111886,30.878031013261076,33.10591904562007
Liverpool,Bournemouth,D,27.02663921695602,43.53782625798397,29.435534525060003
Southampton,Cardiff,A,40.09596502894922,24.363512655680275,35.5405223153705
Watford,Everton,D,26.75931453787021,45.1822504955619,28.05843496656789
Brighton,Burnley,D,22.82944046095996,43.40372476941444,33.7668347696256
Spurs,Leicester,H,39.14071293037536,19.170926905213257,41.68836016441138
Man City,Chelsea,H,37.30151924967009,24.746530757304676,37.951949993025224
Wolves,Newcastle,H,38.35196893219383,20.762374093438403,40.88565697436776
Cardiff,Watford,H,39.37739545397934,14.547094987166076,46.07550955885459
West Ham,Fulham,D,30.495738024114676,35.979605624318204,33.52465635156711
Burnley,Spurs,A,40.61034320391389,22.71007770653789,36.679579089548206
Bournemouth,Wolves,D,32.73584615803723,37.01913510339123,30.245018738571527
Leicester,Crystal Palace,H,36.82084502199027,24.955724917343396,38.22343006066633
Newcastle,Huddersfield,D,31.8698392546648,37.57226219858265,30.557898546752547
Everton,Man City,H,29.901694248719057,31.837084553305466,38.26122119797547
Chelsea,Brighton,D,29.345024005062548,36.53370452899673,34.12127146594071
Arsenal,Southampton,H,26.230967885841306,35.93745087569788,37.83158123846083
Man Utd,Liverpool,H,32.27037712882117,26.750158830049465,40.97946404112938
Cardiff,Everton,A,33.78195381216154,33.460013283581596,32.75803290425686
Huddersfield,Wolves,A,38.85817119194802,27.56797469236351,33.57385411568847
Leicester,Brighton,D,29.65750634505333,36.65649299402152,33.68600066092514
Man City,West Ham,H,32.457569475505046,26.0171457196307,41.525284804864256
Arsenal,Bournemouth,D,27.4149090691841,36.721237585921344,35.86385334489456
Newcastle,Burnley,H,34.392151403432685,27.26103761407043,38.34681098249688
Southampton,Fulham,D,25.018600117127114,47.36793223049327,27.613467652379615
Crystal Palace,Man Utd,A,47.579878796523914,20.76703387091127,31.653087332564827
Chelsea,Spurs,D,33.557953829107646,34.64681510558697,31.79523106530539
Liverpool,Watford,H,30.224890319357318,29.117959749007166,40.65714993163552
Bournemouth,Man City,D,31.3837070403124,35.824632403359175,32.791660556328424
Brighton,Huddersfield,D,20.151725085938413,53.99662937880845,25.851645535253137
Burnley,Crystal Palace,H,42.23903986865726,15.190934300628674,42.570025830714066
Everton,Liverpool,D,27.376644933284144,37.0288953182514,35.59445974846445
Fulham,Chelsea,A,36.610279771744324,30.729211943079992,32.66050828517569
Man Utd,Southampton,H,29.462358249852212,26.78071665332089,43.7569250968269
Spurs,Arsenal,A,37.61021588032284,26.870892619964597,35.518891499712566
Watford,Leicester,H,36.246055257418654,26.850832784101307,36.90311195848003
West Ham,Newcastle,A,42.162353952689315,19.692343461034792,38.14530258627588
Wolves,Cardiff,H,40.68349105189546,16.511866405307448,42.8046425427971
Arsenal,Man Utd,A,33.719937201136815,32.89181630847842,33.38824649038477
Cardiff,West Ham,H,37.85470502416845,22.927715471519523,39.21757950431201
Chelsea,Wolves,D,33.635865304239736,35.46894274720571,30.89519194855455
Crystal Palace,Brighton,A,41.87146359258451,21.125851015235657,37.00268539217982
Huddersfield,Bournemouth,H,32.75323762210116,32.377717940512355,34.86904443738648
Leicester,Fulham,D,23.838846734933576,44.740421236781266,31.420732028285148
Liverpool,Burnley,D,27.35386656154697,38.93579357076996,33.710339867683075
Man City,Watford,H,34.12875868269228,16.87998766636083,48.991253650946895
Newcastle,Everton,D,30.21508588586982,39.491295736622476,30.2936183775077
Southampton,Spurs,D,35.383843573273126,37.11450605713226,27.501650369594614
Bournemouth,Newcastle,H,34.129177644031685,28.507304232167304,37.363518123801015
Brighton,Cardiff,H,31.44663720005669,29.70876314793509,38.84459965200822
Burnley,Leicester,H,39.67673834474649,18.571968385282517,41.751293269971
Everton,Chelsea,H,30.40482977868408,33.30517957286156,36.28999064845436
Fulham,Liverpool,D,33.320566192284986,34.46366526223341,32.2157685454816
Man Utd,Man City,H,34.56763179096413,22.21039429628565,43.22197391275022
Spurs,Crystal Palace,H,41.688965506540946,15.763152551735244,42.5478819417238
Watford,Southampton,D,29.732188941083994,36.61258372834582,33.655227330570185
West Ham,Huddersfield,D,32.76734389470716,37.71311397854206,29.519542126750764
Wolves,Arsenal,A,34.87807759869596,31.693454535967746,33.428467865336295
Arsenal,Newcastle,H,33.836267207344996,23.930936022290155,42.23279677036485
Brighton,Southampton,D,21.434252084980468,47.54468204949832,31.0210658655212
Burnley,Wolves,A,40.895893941148714,23.27307310880579,35.83103295004549
Cardiff,Chelsea,A,43.00184140695914,21.581306750651162,35.4168518423897
Crystal Palace,Huddersfield,A,38.35730371176349,29.742719858017054,31.89997643021946
Fulham,Man City,A,36.12700394496475,29.3634932115478,34.509502843487454
Leicester,Bournemouth,D,28.300056354488135,40.340239310213654,31.3597043352982
Liverpool,Spurs,D,32.5323246647675,37.95872032996878,29.508955005263715
Man Utd,Watford,H,32.0352489818309,15.91176345981574,52.05298755835338
West Ham,Everton,D,31.057341915271696,39.6573348999258,29.285323184802497
Bournemouth,Burnley,D,27.49101732588524,37.09989391840709,35.40908875570767
Chelsea,West Ham,D,28.22935019493033,37.015220097607795,34.755429707461886
Everton,Arsenal,D,28.76485781837902,36.50491247327786,34.73022970834311
Huddersfield,Leicester,H,37.98487350876839,22.254704440052727,39.76042205117889
Man City,Cardiff,H,40.55809909624826,13.99722686161821,45.444674042133535
Newcastle,Crystal Palace,A,42.36938277996584,17.913156995256625,39.71746022477754
Southampton,Liverpool,D,31.096302094643114,42.21298554530533,26.690712360051567
Spurs,Brighton,H,35.65681035522512,24.835536079320665,39.507653565454206
Watford,Fulham,D,26.272005527375804,41.600924602032826,32.12706987059137
Wolves,Man Utd,A,38.532602845144304,29.143875701592,32.3235214532637
Brighton,Bournemouth,D,22.58428263245277,47.81533553483073,29.600381832716504
Burnley,Cardiff,H,43.07744096740323,13.084328712315878,43.8382303202809
Crystal Palace,Man City,A,45.1111924436632,19.099948097055396,35.788859459281404
Fulham,Everton,D,27.6004121399484,43.238068798239944,29.16151906181166
Leicester,Newcastle,H,35.30293597329521,27.13516739740987,37.561896629294914
Liverpool,Chelsea,D,31.6177067464842,39.10765814329865,29.27463511021716
Man Utd,West Ham,H,30.613461669118596,24.64840497579735,44.73813335508406
Southampton,Wolves,D,35.43613592870059,37.95233281739943,26.61153125389999
Spurs,Huddersfield,D,32.15638384802228,33.92749338406633,33.91612276791138
Watford,Arsenal,D,33.85533231113473,35.876525038362104,30.26814265050315
Arsenal,Crystal Palace,H,35.26249319693695,21.929054419434635,42.80845238362841
Bournemouth,Fulham,D,22.888932026059734,46.01805409936043,31.093013874579846
Cardiff,Liverpool,A,39.7672251874833,24.849336010919107,35.383438801597606
Chelsea,Burnley,H,28.251278890377137,35.59694464170712,36.151776467915745
Everton,Man Utd,D,32.113672304825,34.014153894574214,33.872173800600784
Huddersfield,Watford,H,35.03085021432938,19.207634752535313,45.76151503313531
Man City,Spurs,A,38.05413992830173,24.048191883832978,37.89766818786529
Newcastle,Southampton,H,33.253409338113634,30.773537582149224,35.97305307973714
West Ham,Leicester,A,40.69960369725653,21.762316651324557,37.53807965141892
Wolves,Brighton,H,33.03110099175552,29.39746176509812,37.57143724314635
Brighton,Newcastle,H,28.93533298595664,34.89205487434692,36.17261213969644
Burnley,Man City,A,39.26402643292462,22.127714369050626,38.60825919802476
Crystal Palace,Everton,A,36.4948062395671,31.754091203026434,31.751102557406476
Fulham,Cardiff,A,40.986475117536656,18.397222222644565,40.616302659818786
Leicester,Arsenal,D,31.17528925215386,39.04996609745813,29.77474465038802
Liverpool,Huddersfield,D,24.33059264814867,49.95905013098422,25.71035722086711
Man Utd,Chelsea,H,35.24768222982336,23.482584681847527,41.269733088329104
Southampton,Bournemouth,D,29.604876793004646,42.81997262697189,27.575150580023454
Spurs,West Ham,H,34.46375778288092,25.27725855364036,40.25898366347873
Watford,Wolves,A,36.66801210174241,32.485879885628535,30.846108012629053
Arsenal,Brighton,H,28.61266365426799,32.97115145201289,38.41618489371913
Bournemouth,Spurs,D,32.681859024668,36.17207141412407,31.146069561207934
Cardiff,Crystal Palace,A,45.06371759467462,13.871160603721503,41.065121801603865
Chelsea,Watford,H,30.902816514732258,26.02504132880651,43.07214215646123
Everton,Burnley,H,26.124133391272036,33.11075285983361,40.76511374889436
Huddersfield,Man Utd,A,39.68738731830582,28.343922997418282,31.9686896842759
Man City,Leicester,H,37.175841911414075,19.723401400679812,43.10075668790611
Newcastle,Liverpool,A,36.180036412228326,30.59486421715737,33.2250993706143
West Ham,Southampton,H,34.23315691409056,30.895374202344843,34.871468883564596
Wolves,Fulham,D,26.974146583932075,37.47421704304827,35.551636373019655
Brighton,Man City,D,26.08160915614979,42.59159098310305,31.32679986074716
Burnley,Arsenal,A,38.20451358098833,26.278984477735573,35.51650194127608
Crystal Palace,Bournemouth,A,40.481625805115954,24.46489726629375,35.0534769285903
Fulham,Newcastle,H,38.492939669647505,22.845714178148217,38.661346152204274
Leicester,Chelsea,D,33.023109889797034,35.792586481233116,31.184303628969843
